ticker,date,setup_type,score,sm_score,flow_score,status,entry_date,exit_date,days_in_trade,result_r,result_pct,rr_zone
NVDA,2020-08-17,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2020-08-18,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2020-08-19,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2020-08-20,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2020-08-21,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2020-08-24,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2020-08-25,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2020-08-26,EMA Pullback,70,5,0.0,WIN,2020-09-04,2020-09-30,26,1.0929089751365588,9.988824124347309,2.0
NVDA,2020-09-30,EMA Pullback,70,5,0.0,WIN,2020-10-28,2021-02-10,105,1.5607362389747146,11.856547108667062,2.0
NVDA,2021-02-10,EMA Pullback,70,5,0.0,LOSS,2021-02-23,2021-03-03,8,-1.0,-5.83556133975585,2.0
NVDA,2021-04-08,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-04-09,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-04-12,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-04-13,EMA Pullback,70,5,0.0,WIN,2021-05-11,2021-06-02,22,2.3044102697235878,13.80221214094879,2.0
NVDA,2021-06-02,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-06-03,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-06-04,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-06-07,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-06-08,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-06-09,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-06-10,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-06-11,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-06-14,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-06-15,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-06-16,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-06-17,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-06-18,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-06-21,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-06-22,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-06-23,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-06-24,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-06-25,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-06-28,EMA Pullback,70,5,0.0,WIN,2021-07-19,2021-08-20,32,1.178436024975659,10.384918610824954,2.0
NVDA,2021-08-20,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-08-23,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-08-24,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-08-25,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-08-26,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-08-27,EMA Pullback,70,5,0.0,WIN,2021-09-20,2021-10-26,36,1.5995256872816537,11.983488191179534,2.0
NVDA,2021-10-26,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-10-27,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-10-28,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-10-29,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-11-01,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-11-02,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-11-03,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-11-04,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-11-05,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-11-08,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-11-09,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-11-10,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-11-11,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-11-12,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2021-11-15,EMA Pullback,70,5,0.0,WIN,2021-12-14,2021-12-16,2,0.9193892527494063,9.087479100899227,2.0
NVDA,2021-12-23,EMA Pullback,70,5,0.0,LOSS,2021-12-29,2022-01-06,8,-1.0,-7.107812151925333,2.0
NVDA,2022-03-28,EMA Pullback,70,5,0.0,LOSS,2022-04-06,2022-04-07,1,-1.0,-5.32978997781507,2.0
NVDA,2023-02-02,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2023-02-03,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2023-02-06,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2023-02-07,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2023-02-08,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2023-02-09,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2023-02-10,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2023-02-13,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2023-02-14,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2023-02-15,EMA Pullback,70,5,0.0,WIN,2023-02-21,2023-02-23,2,0.9309235375472764,9.151925847628648,2.0
NVDA,2023-02-23,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2023-02-24,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2023-02-27,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2023-02-28,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2023-03-01,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2023-03-02,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2023-03-03,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2023-03-06,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2023-03-07,EMA Pullback,70,5,0.0,WIN,2023-03-13,2023-03-16,3,1.0330994547635506,9.693890349720615,2.0
