date,ticker,status,result_r,trade_return_pct,equity,drawdown_pct
2020-05-27,AMD,LOSS,-1.0,-1.0,170646.36894942838,-4.088577958025397
2020-06-10,AMZN,WIN,1.3572046763834194,1.3572046763834194,172962.38944888854,-2.7868636528858626
2020-06-10,NVDA,WIN,1.1036893830640184,1.1036893830640184,174871.35697792977,-1.7139325880792144
2020-06-23,NFLX,WIN,1.4837465654937403,1.4837465654937403,177466.0047311221,-0.2556164384959758
2020-06-26,AMD,PARTIAL_WIN,0.15635238786012373,0.15635238786012373,177743.47706715917,-0.09966371304120925
2020-07-02,MSFT,WIN,1.8645639476239224,1.8645639476239224,181057.61785980663,0.0
2020-07-09,NVDA,WIN,1.2437007373417304,1.2437007373417304,183309.4327881424,0.0
2020-07-10,NFLX,WIN,1.9584656072527349,1.9584656072527347,186899.48498414824,0.0
2020-07-24,AMD,WIN,2.827203437550263,2.827203437550263,192183.51364838384,0.0
2020-07-31,AAPL,WIN,1.407576673200257,1.407576673200257,194888.64395623514,0.0
2020-07-31,META,WIN,1.3628595796104344,1.3628595796104344,197544.70250996557,0.0
2020-08-05,NVDA,WIN,1.254880660515918,1.254880660515918,200023.65277763683,0.0
2020-08-24,AMZN,WIN,1.163939389197343,1.163939389197343,202351.80686002708,0.0
2020-08-26,GOOGL,WIN,1.9649666398794516,1.9649666398794519,206327.95236001993,0.0
2020-08-27,MSFT,WIN,1.694882828748542,1.694882828748542,209824.9693954784,0.0
2020-09-01,NFLX,WIN,1.491645031431734,1.491645031431734,212954.8131261692,0.0
2020-09-18,AMZN,LOSS,-1.0,-1.0,210825.2649949075,-1.0000000000000009
2020-09-18,GOOGL,LOSS,-1.0,-1.0,208717.01234495844,-1.9900000000000029
2020-09-18,MSFT,LOSS,-1.0,-1.0,206629.84222150885,-2.9700999999999977
2020-09-30,NVDA,WIN,1.0929091036750425,1.0929091036750425,208888.11857805707,-1.9096513896132206
2020-10-30,AMD,LOSS,-1.0,-1.0,206799.2373922765,-2.8905548757170885
2020-11-02,AMZN,PARTIAL_WIN,0.39250665921068784,0.3925066592106879,207610.9381702381,-2.509393836881735
2020-11-05,META,WIN,1.7264505672351684,1.7264505672351684,211195.23838992044,-0.8262667137775681
2020-11-09,GOOGL,WIN,2.960143253154983,2.960143253154983,217446.91999010427,0.0
2020-11-10,NFLX,PARTIAL_WIN,0.49445784042999097,0.494457840429991,218522.10333476885,0.0
2020-12-02,AMD,WIN,2.77384804513867,2.77384804513867,224583.57442631625,0.0
2020-12-09,AAPL,WIN,1.1057722803231647,1.1057722803231647,227066.95733848138,0.0
2021-01-11,META,LOSS,-1.0,-1.0,224796.28776509658,-0.9999999999999898
2021-02-03,GOOGL,WIN,1.7286968903287505,1.7286968903287507,228682.3342012663,0.0
2021-02-11,NVDA,WIN,1.4904940130437383,1.4904940130437383,232090.83070142483,0.0
2021-02-23,AMD,PARTIAL_WIN,0.017296997998171415,0.017296997998171415,232130.9754477652,0.0
2021-03-03,AMZN,LOSS,-1.0,-1.0,229809.66569328753,-1.000000000000012
2021-03-03,NVDA,LOSS,-1.0,-1.0,227511.56903635466,-1.9900000000000029
2021-03-05,AAPL,PARTIAL_WIN,0.07244598964885118,0.07244598964885118,227676.3920441087,-1.918995685545155
2021-04-05,MSFT,WIN,2.960928938281486,2.960928938281486,234417.7282217779,0.0
2021-04-28,GOOGL,WIN,1.504220234125291,1.504220234125291,237943.88712206672,0.0
2021-06-02,NVDA,WIN,2.3044105367787586,2.3044105367787586,243427.0911285286,0.0
2021-06-28,META,WIN,1.769439711747955,1.769439711747955,247734.38674810965,0.0
2021-07-23,GOOGL,WIN,1.7214006454151771,1.7214006454151771,251998.88808050693,0.0
2021-07-23,MSFT,WIN,2.1877430196320047,2.1877430196320047,257511.9761640385,0.0
2021-07-29,AMD,WIN,2.153126578938949,2.153126578938949,263056.53496677737,0.0
2021-08-16,AAPL,WIN,2.882752338181622,2.882752338181622,270639.8033792717,0.0
2021-08-20,NVDA,WIN,1.17843571686471,1.17843571686471,273829.11948634544,0.0
2021-09-02,NFLX,WIN,2.990061961920907,2.990061961920907,282016.7798287696,0.0
2021-10-25,AMD,WIN,1.4218736562765568,1.4218736562765568,286026.7021274343,0.0
2021-10-25,NFLX,WIN,1.8137718978055317,1.8137718978055317,291214.57407084166,0.0
2021-10-26,META,PARTIAL_WIN,0.09410977393126752,0.09410977393126752,291488.63544815464,0.0
2021-10-26,NVDA,WIN,1.5995260900690487,1.599526090069049,296151.07222173415,0.0
2021-11-17,MSFT,WIN,1.9548202823579373,1.9548202823579373,301940.2934479451,0.0
2021-12-03,NFLX,PARTIAL_WIN,-0.027643533384573316,-0.02764353338457332,301856.82648212434,-0.027643533384569263
2021-12-08,AAPL,WIN,2.0021342502758612,2.0021342502758612,307900.4053919187,0.0
2022-01-10,META,LOSS,-1.0,-1.0,304821.40133799956,-0.9999999999999898
2022-01-10,MSFT,LOSS,-1.0,-1.0,301773.18732461956,-1.9899999999999918
2022-01-21,AMZN,PARTIAL_WIN,0.3371246810417283,0.3371246810417283,302790.53921985714,-1.659584100111
2022-01-24,AAPL,PARTIAL_WIN,-0.014425905970739616,-0.014425905970739616,302746.858941381,-1.6737705960399474
2022-01-24,GOOGL,PARTIAL_WIN,0.048424843092262915,0.048424843092262915,302893.4636327901,-1.6261562737325486
2022-02-24,AAPL,LOSS,-1.6898413768241858,-1.6898413768241856,297775.0445566273,-3.288518188991385
2022-04-11,GOOGL,LOSS,-1.0,-1.0,294797.294111061,-4.255633007101467
2022-04-11,MSFT,LOSS,-1.0,-1.0,291849.3211699504,-5.213076677030449
2022-04-26,AAPL,LOSS,-1.0,-1.0,288930.8279582509,-6.160945910260152
2022-09-16,AAPL,LOSS,-1.0,-1.0,286041.51967866835,-7.099336451157557
2023-03-09,NFLX,LOSS,-1.0,-1.0,283181.10448188166,-8.028343086645984
2023-04-27,META,WIN,1.120574022436485,1.120574022436485,286354.3583751543,-6.997732591270534
2023-05-16,AMD,WIN,1.327523503622046,1.327523503622046,290155.7797862306,-5.763105632518228
2023-05-17,NVDA,WIN,1.0508377018853408,1.0508377018853408,293204.8461144237,-4.772828817418873
2023-05-25,MSFT,WIN,1.8416150872394916,1.8416150872394916,298604.5507969843,-3.01911086576907
2023-05-30,NFLX,WIN,2.8365164450893445,2.8365164450893445,307074.51798612595,-0.2682319968827285
2023-06-27,AAPL,WIN,1.9287229464644176,1.9287229464644178,312997.1346772694,0.0
2023-08-14,AMD,LOSS,-1.0,-1.0,309867.1633304967,-1.0000000000000009
2023-08-18,AAPL,LOSS,-1.0873032516546568,-1.0873032516546568,306497.9675877942,-2.0764302191381034
2023-08-22,NVDA,WIN,0.9961235176350842,0.9961235176350842,309551.0659240098,-1.1009905112431273
2023-08-29,GOOGL,WIN,1.501415055201175,1.501415055201175,314198.7122313286,0.0
2023-09-07,AAPL,LOSS,-1.0,-1.0,311056.7251090153,-1.0000000000000009
2023-09-22,NFLX,PARTIAL_WIN,-0.13015332059233242,-0.13015332059233242,310651.87445236015,-1.128851787386409
2023-10-20,NVDA,LOSS,-1.0,-1.0,307545.35570783657,-2.1175632695125457
2023-10-26,GOOGL,PARTIAL_WIN,0.17786165552155575,0.17786165552155575,308092.3609689782,-1.9434679470788474
2023-11-14,AMZN,WIN,1.5425057578891908,1.5425057578891908,312844.70337654144,-0.43094029417608537
2023-11-14,META,WIN,1.2685891099362685,1.2685891099362685,316813.4172145886,0.0
2023-11-28,MSFT,WIN,1.6463642577979969,1.6463642577979969,322029.3200795181,0.0
2023-12-12,AMD,WIN,1.7207642492881177,1.7207642492881177,327570.685491672,0.0
2024-01-09,NVDA,WIN,2.3516616039147316,2.3516616039147316,335274.03952805995,0.0
2024-01-12,META,WIN,2.2767463451921417,2.2767463451921417,342907.37896939315,0.0
2024-01-16,AMD,WIN,1.2417237756314095,1.2417237756314095,347165.3414224506,0.0
2024-01-24,NFLX,WIN,1.6474248708677028,1.6474248708677026,352884.6296000769,0.0
2024-02-02,AMZN,WIN,1.9750790370195634,1.9750790370195634,359854.37994417216,0.0
2024-02-22,NVDA,WIN,0.8591554519448976,0.8591554519448976,362946.08846852503,0.0
2024-03-01,AMD,WIN,1.143619302446781,1.143619302446781,367096.8099937266,0.0
2024-03-04,AAPL,LOSS,-1.0,-1.0,363425.84189378936,-1.0000000000000009
2024-03-21,MSFT,WIN,1.7622553158084102,1.7622553158084104,369830.3331115841,0.0
2024-04-09,GOOGL,WIN,2.9784917938146216,2.9784917938146216,380845.69923434994,0.0
2024-04-19,NFLX,LOSS,-1.0,-1.0,377037.24224200647,-0.9999999999999898
2024-04-19,NVDA,PARTIAL_WIN,-0.33325727597824817,-0.33325727597824817,375780.73819908727,-1.3299247032184547
2024-04-25,META,PARTIAL_WIN,-0.363926682120458,-0.363926682120458,374413.17182651156,-1.689011434491794
2024-04-25,MSFT,LOSS,-1.0,-1.0,370669.04010824644,-2.6721213201468696
2024-05-20,GOOGL,WIN,2.033817818622311,2.033817818622311,378207.77309408423,-0.6926495810689159
2024-07-08,AMZN,WIN,1.7136051121035802,1.7136051121035802,384688.7608281976,0.0
2024-07-18,AMD,LOSS,-1.0,-1.0,380841.8732199156,-1.0000000000000009
2024-07-25,AMZN,LOSS,-1.0,-1.0,377033.45448771643,-1.9900000000000029
2024-07-25,META,LOSS,-1.0,-1.0,373263.11994283926,-2.970100000000009
2024-08-02,AMZN,LOSS,-2.1405349227084,-2.1405349227084,365273.2925068718,-5.047058894969059
2024-08-05,GOOGL,PARTIAL_WIN,-0.07277371240029967,-0.07277371240029967,365007.46957150777,-5.116159675244447
2024-08-05,MSFT,PARTIAL_WIN,0.49090170084706897,0.490901700847069,366799.29744785314,-4.6503732892612115
2024-08-05,NFLX,PARTIAL_WIN,0.15609180912873366,0.15609180912873366,367371.841107111,-4.50154033193092
2024-10-04,META,WIN,2.714223057806179,2.714223057806179,377343.13232632726,-1.9094991197704636
2024-10-31,AMD,LOSS,-1.0,-1.0,373569.701003064,-2.8904041285727544
2024-11-07,NFLX,WIN,2.4327801021284614,2.4327801021284614,382657.8303566473,-0.5279412029553066
2024-12-04,AMZN,WIN,2.887547976141689,2.887547976141689,393707.25879265834,0.0
2024-12-09,AAPL,WIN,1.5418519833681652,1.5418519833681652,399777.64197101735,0.0
2024-12-16,GOOGL,WIN,2.994281704401174,2.994281704401174,411748.11076284194,0.0
2025-01-21,AAPL,LOSS,-1.0,-1.0,407630.6296552135,-1.0000000000000009
2025-01-27,META,WIN,1.7704734940993432,1.7704734940993432,414847.62190708925,0.0
2025-01-27,NVDA,PARTIAL_WIN,-0.03921110851149967,-0.03921110851149967,414684.95555590594,-0.03921110851148324
2025-02-04,NFLX,WIN,1.3172351940745821,1.3172351940745821,420147.33173502085,0.0
2025-02-24,MSFT,LOSS,-1.0,-1.0,415945.85841767065,-1.0000000000000009
2025-02-26,GOOGL,PARTIAL_WIN,0.046536723723972884,0.046536723723972884,416139.42599264375,-0.9539286435132688
2025-03-04,AMZN,PARTIAL_WIN,-0.02017329594001288,-0.02017329594001288,416055.47695471515,-0.9739095006049858
2025-03-07,NFLX,LOSS,-1.0,-1.0,411894.922185168,-1.9641704055989306
2025-03-10,AAPL,LOSS,-1.0,-1.0,407775.9729633163,-2.9445287015429478
2025-03-10,META,LOSS,-1.0,-1.0,403698.21323368314,-3.9150834145275204
2025-04-04,NFLX,LOSS,-1.0,-1.0,399661.2311013463,-4.875932580382236
2025-08-13,AMD,WIN,0.8538698491063185,0.8538698491063186,403073.81785228784,-4.063696849442556
