date,ticker,status,result_r,trade_return_pct,equity,drawdown_pct
2018-07-09,AMD,WIN,0.9284390597631716,0.9284390597631716,120691.75459447334,0.0
2018-07-20,MSFT,WIN,2.238899766535968,2.238899766535968,123393.92200631718,0.0
2018-07-23,TSLA,LOSS,-1.185373941340103,-1.185373941340103,121931.24260965677,-1.1853739413401065
2018-07-26,AMD,WIN,1.2636958101606077,1.2636958101606077,123472.08261379178,0.0
2018-07-26,GOOGL,WIN,2.985276117468496,2.985276117468496,127158.06520780228,0.0
2018-07-26,META,PARTIAL_WIN,-0.11056315279152018,-0.1105631527915202,127017.47524187985,-0.11056315279152074
2018-07-31,NFLX,LOSS,-1.0066352654202002,-1.0066352654202002,125738.87254284871,-1.1160854505251616
2018-08-17,AAPL,WIN,2.0665542336226124,2.0665542336226124,128337.33453669229,0.0
2018-08-28,AMZN,WIN,1.9059312487400926,1.9059312487400928,130783.35589942723,0.0
2018-09-04,NVDA,WIN,2.272820558277621,2.272820558277621,133755.8268991148,0.0
2018-10-08,NFLX,LOSS,-1.0,-1.0,132418.26863012364,-1.0000000000000009
2018-10-10,AMZN,PARTIAL_WIN,0.10117162944368352,0.1011716294436835,132552.23835017782,-0.8998400868507783
2018-10-10,GOOGL,LOSS,-1.0,-1.0,131226.71596667604,-1.8908416859822696
2018-10-10,NVDA,PARTIAL_WIN,0.13748687462093911,0.13748687462093911,131407.1354771263,-1.7559544704994212
2018-11-05,AAPL,PARTIAL_WIN,-0.014425804091496686,-0.014425804091496686,131388.17894120014,-1.7701269640390649
2018-12-24,MSFT,PARTIAL_WIN,0.1392564216075649,0.1392564216075649,131571.145417609,-1.63333555789954
2018-12-24,TSLA,PARTIAL_WIN,-0.01573486638996907,-0.01573486638996907,131550.4428736698,-1.6488134211217642
2019-03-08,AMD,LOSS,-1.1410802279249967,-1.1410802279249967,130049.34678029058,-2.7710793651029686
2019-03-21,AMD,WIN,2.08124212151131,2.08124212151131,132755.9885642323,-0.7475101145586804
2019-04-25,META,WIN,2.058117554123166,2.058117554123166,135488.26286902252,0.0
2019-04-25,MSFT,WIN,2.334530519908707,2.334530519908707,138651.277716594,0.0
2019-05-23,AAPL,LOSS,-1.0,-1.0,137264.76493942805,-1.0000000000000009
2019-06-03,GOOGL,PARTIAL_WIN,0.016281420774177935,0.016281420774177935,137287.1135933825,-0.9838813934335833
2019-06-03,META,LOSS,-1.0,-1.0,135914.24245744868,-1.9740425794992467
2019-06-06,AMD,WIN,1.4401827298432563,1.4401827298432563,137871.65590471815,-0.5622896699656876
2019-07-09,AMZN,WIN,2.780038076521313,2.780038076521313,141704.54043559977,0.0
2019-07-19,NFLX,PARTIAL_WIN,-0.025861432559249886,-0.025861432559249886,141667.89361144163,-0.025861432559248776
2019-08-05,AMD,PARTIAL_WIN,0.0794433632510474,0.0794433632510474,141780.4393507735,0.0
2019-08-05,AMZN,LOSS,-1.2230460628662472,-1.2230460628662472,140046.39926937938,-1.223046062866251
2019-08-23,META,LOSS,-1.0,-1.0,138645.9352766856,-2.2108156022375813
2019-10-11,AAPL,WIN,2.345981990974895,2.345981990974895,141898.54394949536,0.0
2019-10-28,MSFT,WIN,1.8118188473171266,1.8118188473171266,144469.4885128409,0.0
2019-12-16,TSLA,WIN,0.8933503162672135,0.8933503162672135,145760.10714538,0.0
2019-12-19,AMD,WIN,1.2254947353315715,1.2254947353315715,147546.3895846603,0.0
2019-12-19,NVDA,WIN,1.547114197574466,1.5471141975744662,149829.10072593312,0.0
2019-12-27,GOOGL,WIN,2.747047697131853,2.747047697131853,153944.97758705824,0.0
2020-01-02,AAPL,WIN,1.5130368961567437,1.5130368961567437,156274.22189773066,0.0
2020-01-30,MSFT,WIN,2.1494717619686345,2.1494717619686345,159633.29216865858,0.0
2020-02-11,AMD,WIN,1.0912866814962434,1.0912866814962434,161375.34902532914,0.0
2020-02-11,AMZN,WIN,2.5458108090875564,2.5458108090875564,165483.66010401875,0.0
2020-02-11,NVDA,WIN,1.5434111827558097,1.5434111827558097,168037.75341969778,0.0
2020-02-18,NFLX,WIN,1.8862894687275946,1.8862894687275946,171207.43186594,0.0
2020-02-27,AAPL,PARTIAL_WIN,-0.09673322051882549,-0.09673322051882549,171041.8174033285,-0.09673322051882982
2020-02-27,AMD,LOSS,-1.0515594039028264,-1.0515594039028264,169243.2110878175,-1.1472754171445776
2020-02-28,AMZN,LOSS,-1.2023546370566967,-1.2023546370566967,167208.30749139946,-2.3358357350234282
2020-02-28,MSFT,LOSS,-1.0081604238947404,-1.0081604238947404,165522.57950980694,-3.3204471874704877
2020-03-06,GOOGL,PARTIAL_WIN,0.20803284984938342,0.20803284984938342,165866.9208491054,-3.119321958532939
2020-03-06,META,PARTIAL_WIN,0.3541376955445176,0.3541376955445176,166454.31814027106,-2.776230957888992
2020-03-12,NFLX,PARTIAL_WIN,-0.2100313714672311,-0.21003137146723114,166104.71185301463,-2.980431373400272
2020-03-12,NVDA,PARTIAL_WIN,-0.14362794586897132,-0.14362794586897132,165866.13906738858,-3.119778586909583
2020-05-27,AMD,LOSS,-1.0,-1.0,164207.47767671468,-4.088580801040487
2020-06-10,AMZN,WIN,1.3572046763834194,1.3572046763834194,166436.10924271433,-2.7868665344864985
2020-06-10,NVDA,WIN,1.103689499444029,1.103689499444029,168273.04710370937,-1.7139353883471098
2020-06-23,NFLX,WIN,1.4837465654937403,1.4837465654937403,170769.79266076232,-0.2556192803127577
2020-06-26,AMD,PARTIAL_WIN,0.15635238786012373,0.15635238786012373,171036.79530933118,-0.09966655930124801
2020-07-02,MSFT,WIN,1.864563888119138,1.864563888119138,174225.8856300652,0.0
2020-07-09,NVDA,WIN,1.2437003746183584,1.2437003746183584,176392.73362232847,0.0
2020-07-10,NFLX,WIN,1.9584656072527349,1.9584656072527347,179847.32464401468,0.0
2020-07-24,AMD,WIN,2.827203437550263,2.827203437550263,184931.97438869247,0.0
2020-07-31,AAPL,WIN,1.4075767257492133,1.4075767257492133,187535.03381865617,0.0
2020-07-31,META,WIN,1.3628596974598062,1.3628596974598062,190090.87321318823,0.0
2020-08-05,NVDA,WIN,1.2548809149438207,1.2548809149438207,192476.28730219055,0.0
2020-08-24,AMZN,WIN,1.163939389197343,1.163939389197343,194716.5946249654,0.0
2020-08-26,GOOGL,WIN,1.964966916305631,1.964966916305631,198542.71128990292,0.0
2020-08-27,MSFT,WIN,1.6948831723725746,1.6948831723725748,201907.77829352778,0.0
2020-09-01,NFLX,WIN,1.491645031431734,1.491645031431734,204919.52563651738,0.0
2020-09-18,AMZN,LOSS,-1.0,-1.0,202870.3303801522,-1.0000000000000009
2020-09-18,GOOGL,LOSS,-1.0,-1.0,200841.62707635068,-1.9900000000000029
2020-09-18,MSFT,LOSS,-1.0,-1.0,198833.21080558718,-2.9700999999999977
2020-09-30,NVDA,WIN,1.0929090366716203,1.0929090366716203,201006.2769343858,-1.9096514546265597
2020-10-30,AMD,LOSS,-1.0,-1.0,198996.21416504192,-2.890554940080292
2020-11-02,AMZN,PARTIAL_WIN,0.39250665921068784,0.3925066592106879,199777.28755721689,-2.5093939014975586
2020-11-05,META,WIN,1.7264507595038454,1.7264507595038454,203226.34405556464,-0.8262665920650614
